path,description,paper_location,producer_script,source_data,sha256,size_bytes,public_release,notes
.gitignore,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b22ff6c5ad1f322f1c7d4aa3a86014355c156e2c6d9e82974577e0a67e0e7d99,144,yes,
CHANGELOG.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,ab94f69793541ae11ac57115add2c82e98f31f366a06bb4c5556efed12249692,405,yes,
CITATION.cff,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,490c5e6c28a7d20547b74ae05cc932298264b82514dbd97574d2f6fcd71eb7dd,389,yes,
LICENSE,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,469e78799cce588d364ce34c98702ccf930802f49309f3d0b705e33938c6b98c,1096,yes,
README.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b2b8cb5d13bd62937e8e055f945eee857eca2b0fd1f1b27fbe1587a33a1c5c03,2100,yes,
configs/ablation_300.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,171afe14353a134407c1cedd2c8f2afe7a9e504eb1ea8a44bc727674b84af1ec,132,yes,
configs/data_roots.example.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,90e3a83349b1c4608fbcf71d83461cc14d75e1d8785d5a47de08a24551db7a6c,523,yes,
configs/silver_paper_20260612.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,f62fb5c02beb7ad94af4d36cb893629b88a12d1aa27896f0045c8a8e8e02b2c6,389,yes,
configs/stage1_planning.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,4d30cfe848ca1935b2a1ac4e4ffab328777a9a83185c594f3cd066be5cdf6289,77,yes,
configs/stage2_expert_eligibility.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a311c0e868335506f1e8c1ee13561657e05b095269861486634461b64b430601,104,yes,
configs/stage3_initial_execution.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,22b101373bb02275f578a94eab9a833ead03b5b1122418cfcfbb3a136a6862ec,88,yes,
configs/stage4_recovery.yaml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a59d37d82336bf2447415d29a8f0df8df78791256d10486768f3fdec64685186,72,yes,
data/breakdowns/physicslaw_replacement_alignment.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,5291cfbf18ea79fa96918445ee3b2aa75111f2591494a29dd3b6a89242fc5391,29168,yes,
data/breakdowns/r3_c3_adapter_error_summary.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a2b718876e16a5f5a768bbead16683aaabf3ff795fdc13d5750f057a3d5644cc,194,yes,
data/breakdowns/r3_c3_by_initial_status_and_category.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,2f73479bb13fdae7f1381be4bbbafbcb5fefda8a46ad24cefe71d3c3e07b80e0,323,yes,
data/breakdowns/r3_c3_subtype_evidence.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a2b718876e16a5f5a768bbead16683aaabf3ff795fdc13d5750f057a3d5644cc,194,yes,
data/breakdowns/r3_c3_task_level_sources.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,e765d8c52d4ba7a33f7d43df238f71b4d7e4c18f8aafc567564cc716a51f125e,1853,yes,
data/breakdowns/stage2_b1_b5_by_category.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,30f3ef75e9e18af7d543e6e29a49853dbef526bcb0693df64c08663f6c34cee9,341,yes,
data/breakdowns/stage2_b1_b5_by_task.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,9af95b89a6f6faaf295fcbc897c6f11ce4f772e4b5a8ee684f0a8d7473e1fe6b,2174,yes,
data/breakdowns/stage3_status_by_category.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,fa63e285e4f4e3b4566b6c5a4b867b98b8e891eabdc1ef6e7941ff87cb060f5a,401,yes,
data/breakdowns/stage4_recovery_by_category.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,63ea58bad3a8f690b22fc954e3e4c1d4d24199961ced8d378e92ee6da3219653,409,yes,
data/breakdowns/stage4_transition_matrix.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,bb3afbb5f0a869ee3a789e909df1c640f0140ea00c72322841d476f2143c3f87,1116,yes,
data/checksums/artifact_hashes.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,e3b102084b6b9d60c2c607c3e681dd1d15f83d965500a492d53b331d60ab6dc5,22572,yes,
data/checksums/sha256_manifest.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,76569a4e331cbccff2e90bed8b871a28c1e56fd8db77905447ffe4a7dbc457df,21988,yes,
data/records/ablation_300_records_long.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,17580f7caab09d3fbcb37e53a1071c6aafce114b8b1692cb0626baf7d4ee4687,401102,yes,
