sample_id,category,task_name,example,initial_status,variant,status_code,success
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R3,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R4,C3_entity_mapping_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R3_MF,C0_qwen_guided_success,True
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,SR,C0_qwen_guided_success,True
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R3,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R4,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R3_MF,C1_qwen_guided_condition_failure,False
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R3_MO,C0_qwen_guided_success,True
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R3,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R2,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R4,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,C1_qwen_guided_condition_failure,R3_SHUF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R3,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example61,CommenSence,select_billiards_common_sense,example61,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R2,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R3,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example65,CommenSence,select_billiards_common_sense,example65,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R3,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example70,CommenSence,select_billiards_common_sense,example70,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R3,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example80,CommenSence,select_billiards_common_sense,example80,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example83,CommenSence,select_billiards_common_sense,example83,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,NF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R2,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R4,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example84,CommenSence,select_billiards_common_sense,example84,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R2,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R3,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example89,CommenSence,select_billiards_common_sense,example89,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R3,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R4,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example92,CommenSence,select_billiards_common_sense,example92,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,True
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R2,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R4,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_billiards_common_sense/example99,CommenSence,select_billiards_common_sense,example99,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,NF,C2_qwen_conversion_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R2,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R3,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R4,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R3_MF,C0_qwen_guided_success,True
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,False
CommenSence/select_chemistry_tube_common_sense/example82,CommenSence,select_chemistry_tube_common_sense,example82,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,NF,C2_qwen_conversion_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R2,C3_entity_mapping_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R4,C3_entity_mapping_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R3_MF,C3_entity_mapping_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R3_MO,C2_qwen_conversion_failure,False
CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,SR,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R2,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R3,C3_entity_mapping_failure,False
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R4,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R3_MF,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R3_MO,C0_qwen_guided_success,True
CommenSence/select_drink_common_sense/example11,CommenSence,select_drink_common_sense,example11,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,False
CommenSence/select_drink_common_sense/example67,CommenSence,select_drink_common_sense,example67,C1_qwen_guided_condition_failure,SR,C1_qwen_guided_condition_failure,False
CommenSence/select_drink_common_sense/example67,CommenSence,select_drink_common_sense,example67,C1_qwen_guided_condition_failure,NF,C2_qwen_conversion_failure,False
