sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir,updated_at
1,CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example0,2026-05-18 13:21:34
2,CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,example1,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example1,2026-05-18 13:21:34
3,CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,example2,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example2,2026-05-23 18:06:04
4,CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,example3,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example3,2026-05-23 18:13:53
5,CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,example4,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example4,2026-05-23 18:16:41
6,CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,example5,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example5,2026-05-18 13:21:34
7,CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,example6,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example6,2026-05-23 18:18:59
8,CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,example7,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example7,2026-05-23 18:21:13
9,CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,example8,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example8,2026-05-18 13:21:34
10,CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,example9,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example9,2026-05-18 13:21:34
11,CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,example10,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example10,2026-05-23 18:24:44
12,CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,example11,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example11,2026-05-18 13:21:34
13,CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,example12,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example12,2026-05-18 13:21:34
14,CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,example13,pick>pour,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example13,2026-05-18 13:21:34
15,CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,example14,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example14,2026-05-18 13:21:34
16,CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,example15,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example15,2026-05-18 13:21:34
17,CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,example16,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example16,2026-05-23 18:27:06
18,CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,example17,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example17,2026-05-18 13:21:34
19,CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,example18,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example18,2026-05-18 13:21:34
20,CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,example19,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example19,2026-05-23 18:30:37
21,CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,example20,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example20,2026-05-18 13:33:29
22,CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,example21,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example21,2026-05-23 18:34:11
23,CommenSence/add_condiment_common_sense/example22,CommenSence,add_condiment_common_sense,example22,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example22,2026-05-23 18:36:37
24,CommenSence/add_condiment_common_sense/example23,CommenSence,add_condiment_common_sense,example23,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example23,2026-05-18 13:21:34
25,CommenSence/add_condiment_common_sense/example24,CommenSence,add_condiment_common_sense,example24,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example24,2026-05-23 18:38:59
26,CommenSence/add_condiment_common_sense/example25,CommenSence,add_condiment_common_sense,example25,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example25,2026-05-23 18:41:30
27,CommenSence/add_condiment_common_sense/example26,CommenSence,add_condiment_common_sense,example26,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example26,2026-05-18 13:21:34
28,CommenSence/add_condiment_common_sense/example27,CommenSence,add_condiment_common_sense,example27,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example27,2026-05-18 13:21:34
29,CommenSence/add_condiment_common_sense/example28,CommenSence,add_condiment_common_sense,example28,pick>pour,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example28,2026-05-18 13:21:34
30,CommenSence/add_condiment_common_sense/example29,CommenSence,add_condiment_common_sense,example29,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example29,2026-05-18 13:21:34
31,CommenSence/add_condiment_common_sense/example30,CommenSence,add_condiment_common_sense,example30,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example30,2026-05-23 18:44:26
32,CommenSence/add_condiment_common_sense/example31,CommenSence,add_condiment_common_sense,example31,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example31,2026-05-18 13:36:11
33,CommenSence/add_condiment_common_sense/example32,CommenSence,add_condiment_common_sense,example32,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example32,2026-05-18 13:21:34
34,CommenSence/add_condiment_common_sense/example33,CommenSence,add_condiment_common_sense,example33,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example33,2026-05-18 13:21:34
35,CommenSence/add_condiment_common_sense/example34,CommenSence,add_condiment_common_sense,example34,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example34,2026-05-18 13:21:34
36,CommenSence/add_condiment_common_sense/example35,CommenSence,add_condiment_common_sense,example35,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example35,2026-05-18 13:21:34
37,CommenSence/add_condiment_common_sense/example36,CommenSence,add_condiment_common_sense,example36,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example36,2026-05-18 13:21:34
38,CommenSence/add_condiment_common_sense/example37,CommenSence,add_condiment_common_sense,example37,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example37,2026-05-18 13:21:34
