sample_id,category,task_name,example,gt_sequence_length,gt_skills,source_split
CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,example0,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,example1,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,example2,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,example3,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,example4,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,example5,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,example6,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,example7,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,example8,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,example9,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,example10,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,example11,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,example12,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,example13,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,example14,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,example15,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,example16,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,example17,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,example18,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,example19,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,example20,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,example21,2,pick>pour,VLABench/vlm_evaluation_v1.0_public
