sample_id,category,task_name,example,gt_skill_pattern,execution_candidate_reason
CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,example0,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,example1,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,example2,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,example3,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,example4,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,example5,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,example6,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,example7,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,example8,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,example9,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,example10,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,example11,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,example12,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,example13,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,example14,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,example15,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,example16,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,example17,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,example18,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,example19,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,example20,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,example21,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example22,CommenSence,add_condiment_common_sense,example22,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example23,CommenSence,add_condiment_common_sense,example23,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example24,CommenSence,add_condiment_common_sense,example24,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example25,CommenSence,add_condiment_common_sense,example25,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example26,CommenSence,add_condiment_common_sense,example26,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example27,CommenSence,add_condiment_common_sense,example27,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example28,CommenSence,add_condiment_common_sense,example28,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example29,CommenSence,add_condiment_common_sense,example29,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example30,CommenSence,add_condiment_common_sense,example30,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example31,CommenSence,add_condiment_common_sense,example31,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example32,CommenSence,add_condiment_common_sense,example32,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example33,CommenSence,add_condiment_common_sense,example33,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example34,CommenSence,add_condiment_common_sense,example34,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example35,CommenSence,add_condiment_common_sense,example35,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example36,CommenSence,add_condiment_common_sense,example36,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example37,CommenSence,add_condiment_common_sense,example37,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example38,CommenSence,add_condiment_common_sense,example38,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example39,CommenSence,add_condiment_common_sense,example39,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example40,CommenSence,add_condiment_common_sense,example40,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example41,CommenSence,add_condiment_common_sense,example41,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example42,CommenSence,add_condiment_common_sense,example42,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example44,CommenSence,add_condiment_common_sense,example44,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example43,CommenSence,add_condiment_common_sense,example43,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example46,CommenSence,add_condiment_common_sense,example46,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example45,CommenSence,add_condiment_common_sense,example45,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example48,CommenSence,add_condiment_common_sense,example48,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example47,CommenSence,add_condiment_common_sense,example47,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example50,CommenSence,add_condiment_common_sense,example50,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example49,CommenSence,add_condiment_common_sense,example49,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example51,CommenSence,add_condiment_common_sense,example51,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example52,CommenSence,add_condiment_common_sense,example52,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example53,CommenSence,add_condiment_common_sense,example53,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example54,CommenSence,add_condiment_common_sense,example54,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example55,CommenSence,add_condiment_common_sense,example55,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example56,CommenSence,add_condiment_common_sense,example56,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example57,CommenSence,add_condiment_common_sense,example57,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example58,CommenSence,add_condiment_common_sense,example58,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example60,CommenSence,add_condiment_common_sense,example60,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example59,CommenSence,add_condiment_common_sense,example59,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example61,CommenSence,add_condiment_common_sense,example61,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example62,CommenSence,add_condiment_common_sense,example62,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example63,CommenSence,add_condiment_common_sense,example63,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example64,CommenSence,add_condiment_common_sense,example64,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example65,CommenSence,add_condiment_common_sense,example65,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example66,CommenSence,add_condiment_common_sense,example66,pick>pour,S0_generic_compatible_preload_target
