category,condition,n,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,step_level_f1,sequence_edit_distance,latency_s,object_argument_accuracy,target_argument_accuracy
CommenSence,P1,800,0.87375,0.0,0.616875,0.616875,0.36,0.0,2.0,3.062353165149689,0.0,0.0
CommenSence,P2,800,0.94125,0.24625,0.650625,0.650625,0.36,0.475625,1.04875,2.978080168068409,0.6387782204515272,0.8088235294117647
CommenSence,P3,800,0.96625,0.0,0.5919261363636363,0.709375,0.34875,0.0,2.3275,3.231555875837803,0.0,0.0
Complex,P1,500,0.558,0.0,0.21680000000000002,0.29635555555555554,0.082,0.0,6.788,3.475613615512848,0.0,0.0
Complex,P2,500,0.802,0.0,0.16432222222222223,0.2353888888888889,0.002,0.1640887445887446,6.104,3.395964813232422,0.15876974231088944,0.7327514546965918
Complex,P3,500,0.766,0.0,0.26858838383838385,0.4445777777777778,0.074,0.0,7.45,4.260349576473236,0.0,0.0
M&T,P1,900,0.9633333333333334,0.0,0.645,0.645,0.32666666666666666,0.0,2.0,3.3275245700942144,0.0,0.0
M&T,P2,900,0.8922222222222222,0.2011111111111111,0.6005555555555555,0.6005555555555555,0.3088888888888889,0.45111111111111113,1.0977777777777777,3.2824123115009733,0.6749688667496887,0.8088235294117647
M&T,P3,900,0.9944444444444445,0.0,0.659074074074074,0.7427777777777778,0.4444444444444444,0.0,2.212222222222222,3.5461697077751158,0.0,0.0
PhysicsLaw,P1,600,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,1.0016666666666667,3.3984437783559165,0.0,
PhysicsLaw,P2,600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2840934081872306,,
PhysicsLaw,P3,600,0.125,0.0,0.0,0.0,0.0,0.0,1.5733333333333333,3.5332977175712585,0.0,
Semantic,P1,900,0.7311111111111112,0.0,0.47694444444444445,0.4772222222222222,0.22333333333333333,0.0,2.002222222222222,3.4511977889802723,0.0,0.0
Semantic,P2,900,0.9311111111111111,0.22555555555555556,0.625,0.625,0.32,0.41833333333333333,1.1633333333333333,3.3906599961386785,0.6312649164677804,0.6923076923076923
Semantic,P3,900,0.7622222222222222,0.0,0.3487623456790124,0.505,0.1711111111111111,0.0,2.6544444444444446,3.689386942916446,0.0,0.0
Spatial,P1,800,1.0,0.0,0.6875,0.6875,0.375,0.0,2.0,3.4496061238646507,0.0,0.0
Spatial,P2,800,0.99625,0.01625,0.685,0.685,0.37375,0.209375,1.58125,3.394826408624649,0.22710163111668757,0.5591182364729459
Spatial,P3,800,0.99875,0.0,0.6622083333333333,0.766875,0.4375,0.0,2.27875,3.681690943837166,0.0,0.0
