sample_id,category,task,condition,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,object_argument_accuracy,target_argument_accuracy,step_level_f1,sequence_edit_distance,latency_s
CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,6.883430480957031
CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,2.4766101837158203
CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.4507086277008057
CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.053938388824463
CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.6269073486328125
CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.003413438796997
CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7543532848358154
CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.388617753982544
CommenSence/add_condiment_common_sense/example2,CommenSence,add_condiment_common_sense,P3,1,0,0.25,0.5,0.0,0.0,0.0,0.0,4,1.968456506729126
CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8329284191131592
CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.3802523612976074
CommenSence/add_condiment_common_sense/example3,CommenSence,add_condiment_common_sense,P3,1,0,0.25,0.5,0.0,0.0,0.0,0.0,4,1.9578166007995605
CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5161919593811035
CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.4172568321228027
CommenSence/add_condiment_common_sense/example4,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,4.308687686920166
CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5459766387939453
CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5998318195343018
CommenSence/add_condiment_common_sense/example5,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.7065622806549072
CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.3781540393829346
CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.4424870014190674
CommenSence/add_condiment_common_sense/example6,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,4.0316150188446045
CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7287068367004395
CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.4576478004455566
CommenSence/add_condiment_common_sense/example7,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,1.9357104301452637
CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5693268775939941
CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.4155728816986084
CommenSence/add_condiment_common_sense/example8,CommenSence,add_condiment_common_sense,P3,1,0,0.25,0.5,0.0,0.0,0.0,0.0,4,2.1578125953674316
CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6685893535614014
CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.3854782581329346
CommenSence/add_condiment_common_sense/example9,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.367027759552002
CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7111024856567383
CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.4418096542358398
CommenSence/add_condiment_common_sense/example10,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,4.236807107925415
CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6920597553253174
CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.554142951965332
