category,task,rows,B1_condition_failure,B5_nondeterministic_mismatch,B0_official_eligible,B3_native_exception,B4_timeout
CommenSence,add_condiment_common_sense,100,94,6,,,
CommenSence,insert_flower_common_sense,100,57,12,27,4,
CommenSence,select_billiards_common_sense,100,,,97,1,2
CommenSence,select_chemistry_tube_common_sense,100,3,5,84,8,
CommenSence,select_drink_common_sense,100,37,22,41,,
CommenSence,select_fruit_common_sense,100,1,2,97,,
CommenSence,select_nth_largest_poker,100,1,,99,,
CommenSence,select_toy_common_sense,100,20,6,74,,
M&T,add_condiment,100,97,2,1,,
M&T,insert_flower,100,52,16,31,1,
M&T,select_billiards,100,,,100,,
M&T,select_book,100,5,22,73,,
M&T,select_chemistry_tube,100,4,2,94,,
M&T,select_drink,100,43,13,44,,
M&T,select_fruit,100,1,2,97,,
M&T,select_poker,100,,,100,,
M&T,select_toy,100,20,4,76,,
PhysicsLaw,density_qa,100,61,30,9,,
PhysicsLaw,friction_qa,100,62,29,9,,
PhysicsLaw,magnetism_qa,100,57,37,6,,
PhysicsLaw,reflection_qa,100,,,,100,
PhysicsLaw,speed_of_sound_qa,100,56,33,11,,
PhysicsLaw,thermal_expansion_qa,100,60,33,7,,
Semantic,add_condiment_semantic,100,98,2,,,
Semantic,insert_flower_semantic,100,53,21,26,,
Semantic,select_billiards_semantic,100,,,,100,
Semantic,select_book_semantic,100,6,16,78,,
Semantic,select_chemistry_tube_semantic,100,4,1,94,,1
Semantic,select_drink_semantic,100,45,15,40,,
Semantic,select_fruit_semantic,100,1,2,97,,
Semantic,select_poker_semantic,100,,,100,,
Semantic,select_toy_semantic,100,21,7,72,,
Spatial,add_condiment_spatial,100,99,1,,,
Spatial,insert_bloom_flower,100,60,12,28,,
Spatial,select_billiards_spatial,100,36,4,60,,
Spatial,select_book_spatial,100,2,13,85,,
Spatial,select_chemistry_tube_spatial,100,4,4,92,,
Spatial,select_fruit_spatial,100,46,,,,54
Spatial,select_poker_spatial,100,,,100,,
Spatial,select_toy_spatial,100,11,5,84,,
