"category","task","rows","B1_condition_failure","B0_official_eligible","B5_nondeterministic_mismatch","B3_native_exception","B4_timeout"
"CommenSence","add_condiment_common_sense","2","2","","","",""
"CommenSence","select_toy_common_sense","2","1","1","","",""
"M&T","add_condiment","2","2","","","",""
"M&T","insert_flower","2","1","","1","",""
"M&T","select_drink","2","1","1","","",""
"M&T","select_toy","2","1","1","","",""
"PhysicsLaw","density_qa","2","","","2","",""
"PhysicsLaw","friction_qa","2","","","2","",""
"PhysicsLaw","magnetism_qa","2","","","2","",""
"PhysicsLaw","reflection_qa","2","","","","2",""
"PhysicsLaw","speed_of_sound_qa","2","","","2","",""
"PhysicsLaw","thermal_expansion_qa","2","1","","1","",""
"Semantic","add_condiment_semantic","2","2","","","",""
"Semantic","insert_flower_semantic","2","1","1","","",""
"Semantic","select_billiards_semantic","2","","","","2",""
"Semantic","select_poker_semantic","2","","1","1","",""
"Semantic","select_toy_semantic","2","1","1","","",""
"Spatial","add_condiment_spatial","2","1","","","","1"
"Spatial","insert_bloom_flower","2","2","","","",""
"Spatial","select_fruit_spatial","2","","","","2",""
