"sample_id","repeat","status","success","error","first_stage_error","path"
"CommenSence/add_condiment_common_sense/example0","official_repeat_1","completed","False",,"AttributeError(""'mujoco._structs.MjData' object has no attribute 'ptr'"")","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example0\official_repeat_1\execution_result.json"
"CommenSence/add_condiment_common_sense/example0","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example0\official_repeat_2\execution_result.json"
"CommenSence/add_condiment_common_sense/example1","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example1\official_repeat_1\execution_result.json"
"CommenSence/add_condiment_common_sense/example1","official_repeat_2","completed","False",,"AttributeError(""'Physics' object has no attribute 'np'"")","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example1\official_repeat_2\execution_result.json"
"CommenSence/select_toy_common_sense/example0","official_repeat_1","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_toy_common_sense\example0\official_repeat_1\execution_result.json"
"CommenSence/select_toy_common_sense/example1","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_toy_common_sense\example1\official_repeat_1\execution_result.json"
"CommenSence/select_toy_common_sense/example1","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_toy_common_sense\example1\official_repeat_2\execution_result.json"
"M&T/add_condiment/example0","official_repeat_1","completed","False",,"AttributeError(""'Physics' object has no attribute 'np'"")","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example0\official_repeat_1\execution_result.json"
"M&T/add_condiment/example0","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example0\official_repeat_2\execution_result.json"
"M&T/add_condiment/example1","official_repeat_1","completed","False",,"AttributeError(""type object 'mujoco._enums.mjtIntegrator' has no attribute 'model'"")","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example1\official_repeat_1\execution_result.json"
