category,task,rows,B1_condition_failure,B0_official_eligible,B5_nondeterministic_mismatch,B3_native_exception,B4_timeout
CommenSence,add_condiment_common_sense,2,2,,,,
CommenSence,insert_flower_common_sense,2,,2,,,
CommenSence,select_billiards_common_sense,2,,2,,,
CommenSence,select_chemistry_tube_common_sense,2,,2,,,
CommenSence,select_drink_common_sense,2,,2,,,
CommenSence,select_fruit_common_sense,2,,2,,,
CommenSence,select_nth_largest_poker,2,,2,,,
CommenSence,select_toy_common_sense,2,1,1,,,
M&T,add_condiment,2,2,,,,
M&T,insert_flower,2,1,,1,,
M&T,select_billiards,2,,2,,,
M&T,select_book,2,,2,,,
M&T,select_chemistry_tube,2,,2,,,
M&T,select_drink,2,1,1,,,
M&T,select_fruit,2,,2,,,
M&T,select_poker,2,,2,,,
M&T,select_toy,2,1,1,,,
PhysicsLaw,density_qa,2,,,2,,
PhysicsLaw,friction_qa,2,,,2,,
PhysicsLaw,magnetism_qa,2,,,2,,
PhysicsLaw,reflection_qa,2,,,,2,
PhysicsLaw,speed_of_sound_qa,2,,,2,,
PhysicsLaw,thermal_expansion_qa,2,1,,1,,
Semantic,add_condiment_semantic,2,2,,,,
Semantic,insert_flower_semantic,2,1,1,,,
Semantic,select_billiards_semantic,2,,,,2,
Semantic,select_book_semantic,2,,2,,,
Semantic,select_chemistry_tube_semantic,2,,2,,,
Semantic,select_drink_semantic,2,,2,,,
Semantic,select_fruit_semantic,2,,2,,,
Semantic,select_poker_semantic,2,,1,1,,
Semantic,select_toy_semantic,2,1,1,,,
Spatial,add_condiment_spatial,2,1,,,,1
Spatial,insert_bloom_flower,2,2,,,,
Spatial,select_billiards_spatial,2,,2,,,
Spatial,select_book_spatial,2,,2,,,
Spatial,select_chemistry_tube_spatial,2,,2,,,
Spatial,select_fruit_spatial,2,,,,2,
Spatial,select_poker_spatial,2,,2,,,
Spatial,select_toy_spatial,2,,2,,,
