category,task,rows,B0_official_eligible,B1_condition_failure,B3_native_exception,B4_timeout,B5_nondeterministic_mismatch,eligible_rate_percent
CommenSence,add_condiment_common_sense,100,0,94,0,0,6,0.0000
CommenSence,insert_flower_common_sense,100,27,57,4,0,12,27.0000
CommenSence,select_billiards_common_sense,100,97,0,1,2,0,97.0000
CommenSence,select_chemistry_tube_common_sense,100,84,3,8,0,5,84.0000
CommenSence,select_drink_common_sense,100,41,37,0,0,22,41.0000
CommenSence,select_fruit_common_sense,100,97,1,0,0,2,97.0000
CommenSence,select_nth_largest_poker,100,99,1,0,0,0,99.0000
CommenSence,select_toy_common_sense,100,74,20,0,0,6,74.0000
M&T,add_condiment,100,1,97,0,0,2,1.0000
M&T,insert_flower,100,31,52,1,0,16,31.0000
M&T,select_billiards,100,100,0,0,0,0,100.0000
M&T,select_book,100,73,5,0,0,22,73.0000
M&T,select_chemistry_tube,100,94,4,0,0,2,94.0000
M&T,select_drink,100,44,43,0,0,13,44.0000
M&T,select_fruit,100,97,1,0,0,2,97.0000
M&T,select_poker,100,100,0,0,0,0,100.0000
M&T,select_toy,100,76,20,0,0,4,76.0000
PhysicsLaw,density_qa,100,9,61,0,0,30,9.0000
PhysicsLaw,friction_qa,100,9,62,0,0,29,9.0000
PhysicsLaw,magnetism_qa,100,6,57,0,0,37,6.0000
PhysicsLaw,reflection_qa,100,0,0,100,0,0,0.0000
PhysicsLaw,speed_of_sound_qa,100,11,56,0,0,33,11.0000
PhysicsLaw,thermal_expansion_qa,100,7,60,0,0,33,7.0000
Semantic,add_condiment_semantic,100,0,98,0,0,2,0.0000
Semantic,insert_flower_semantic,100,26,53,0,0,21,26.0000
Semantic,select_billiards_semantic,100,0,0,100,0,0,0.0000
Semantic,select_book_semantic,100,78,6,0,0,16,78.0000
Semantic,select_chemistry_tube_semantic,100,94,4,0,1,1,94.0000
Semantic,select_drink_semantic,100,40,45,0,0,15,40.0000
Semantic,select_fruit_semantic,100,97,1,0,0,2,97.0000
Semantic,select_poker_semantic,100,100,0,0,0,0,100.0000
Semantic,select_toy_semantic,100,72,21,0,0,7,72.0000
Spatial,add_condiment_spatial,100,0,99,0,0,1,0.0000
Spatial,insert_bloom_flower,100,28,60,0,0,12,28.0000
Spatial,select_billiards_spatial,100,60,36,0,0,4,60.0000
Spatial,select_book_spatial,100,85,2,0,0,13,85.0000
Spatial,select_chemistry_tube_spatial,100,92,4,0,0,4,92.0000
Spatial,select_fruit_spatial,100,0,46,0,54,0,0.0000
Spatial,select_poker_spatial,100,100,0,0,0,0,100.0000
Spatial,select_toy_spatial,100,84,11,0,0,5,84.0000
