category,task,rows,C0_qwen_guided_success,C1_qwen_guided_condition_failure,C2_qwen_conversion_failure,C3_entity_mapping_failure,C4_unsupported_qwen_skill
CommenSence,insert_flower_common_sense,27,20,7,,,
CommenSence,select_billiards_common_sense,97,26,60,11,,
CommenSence,select_chemistry_tube_common_sense,84,72,12,,,
CommenSence,select_drink_common_sense,41,29,12,,,
CommenSence,select_fruit_common_sense,97,74,23,,,
CommenSence,select_nth_largest_poker,99,21,55,23,,
CommenSence,select_toy_common_sense,74,69,5,,,
M&T,add_condiment,1,,1,,,
M&T,insert_flower,31,16,15,,,
M&T,select_billiards,100,14,62,22,2,
M&T,select_book,73,42,30,1,,
M&T,select_chemistry_tube,94,77,17,,,
M&T,select_drink,44,32,12,,,
M&T,select_fruit,97,70,27,,,
M&T,select_poker,100,7,21,72,,
M&T,select_toy,76,68,8,,,
PhysicsLaw,density_qa,9,,,9,,
PhysicsLaw,friction_qa,9,,,9,,
PhysicsLaw,magnetism_qa,6,,,6,,
PhysicsLaw,speed_of_sound_qa,11,,,11,,
PhysicsLaw,thermal_expansion_qa,7,,,7,,
Semantic,insert_flower_semantic,26,19,7,,,
Semantic,select_book_semantic,78,43,33,2,,
Semantic,select_chemistry_tube_semantic,94,85,9,,,
Semantic,select_drink_semantic,40,15,22,3,,
Semantic,select_fruit_semantic,97,91,4,2,,
Semantic,select_poker_semantic,100,26,48,25,,1
Semantic,select_toy_semantic,72,63,4,5,,
Spatial,insert_bloom_flower,28,15,13,,,
Spatial,select_billiards_spatial,60,,24,,36,
Spatial,select_book_spatial,85,33,52,,,
Spatial,select_chemistry_tube_spatial,92,25,67,,,
Spatial,select_poker_spatial,100,29,69,2,,
Spatial,select_toy_spatial,84,12,71,,1,
