ablation_index,sample_id,track_c_status,variant,variant_status,variant_execution_status,variant_success,variant_progress_score,variant_elapsed_s,case_dir,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,completed,False,0.5,65.11057615280151,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\insert_flower_common_sense\example19,2026-05-29 21:51:03
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,completed,True,1.0,62.32420468330383,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\insert_flower_common_sense\example81,2026-05-29 21:51:03
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,completed,False,0.5,52.380759716033936,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example21,2026-05-29 21:51:58
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,completed,False,0.5,40.032541036605835,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example30,2026-05-29 21:52:41
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,completed,True,1.0,55.28788471221924,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example47,2026-05-29 21:53:38
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,completed,False,0.5,50.85033392906189,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example6,2026-05-29 21:54:32
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,NF,C1_qwen_guided_condition_failure,completed,False,0.5,42.901432275772095,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example61,2026-05-29 21:55:17
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,completed,True,1.0,40.463481187820435,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example65,2026-05-29 21:56:00
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,completed,True,1.0,44.70544409751892,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example70,2026-05-29 21:56:47
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,NF,C0_qwen_guided_success,completed,True,1.0,58.16033148765564,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example80,2026-05-29 21:57:48
