ablation_index,sample_id,track_c_status,variant,variant_status,variant_execution_status,variant_success,variant_progress_score,variant_elapsed_s,case_dir,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,completed,False,0.5,62.86879086494446,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\insert_flower_common_sense\example19,2026-05-30 20:29:59
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,completed,False,0.5,74.62699556350708,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\insert_flower_common_sense\example81,2026-05-30 20:29:59
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,completed,False,0.5,68.42654323577881,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example21,2026-05-30 20:31:12
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,61.68438911437988,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example30,2026-05-30 20:32:16
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,76.08166241645813,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example47,2026-05-30 20:33:35
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,70.76061582565308,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example6,2026-05-30 20:34:49
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,67.26052904129028,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example61,2026-05-30 20:35:59
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,55.310396671295166,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example65,2026-05-30 20:36:57
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,58.23940920829773,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example70,2026-05-30 20:37:58
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,69.82652592658997,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example80,2026-05-30 20:39:11
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R1,C0_qwen_guided_success,completed,True,1.0,50.519127368927,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example83,2026-05-30 20:40:04
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R1,C1_qwen_guided_condition_failure,completed,False,0.5,35.84738492965698,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\ablation_300\data\CommenSence\select_billiards_common_sense\example84,2026-05-30 20:40:42
