ablation_index,sample_id,track_c_status,variant,variant_status,variant_execution_status,variant_success,variant_progress_score,variant_elapsed_s,case_dir,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,46.942668199539185,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\insert_flower_common_sense\example19,2026-06-11 17:29:03
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R3_MO,C0_qwen_guided_success,completed,True,1.0,47.15706777572632,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\insert_flower_common_sense\example81,2026-06-11 17:29:51
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,39.74118494987488,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example21,2026-06-11 17:30:32
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,34.459880113601685,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example30,2026-06-11 17:31:08
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,36.596370697021484,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example47,2026-06-11 17:31:46
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,36.203280210494995,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example6,2026-06-11 17:32:24
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,35.50809907913208,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example61,2026-06-11 17:33:01
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,30.823058605194092,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example65,2026-06-11 17:33:33
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,35.63215160369873,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example70,2026-06-11 17:34:10
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,34.80953669548035,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example80,2026-06-11 17:34:47
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,36.18495464324951,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example83,2026-06-11 17:35:24
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,23.006701946258545,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example84,2026-06-11 17:35:48
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,39.66346454620361,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example89,2026-06-11 17:36:30
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,35.175048828125,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example92,2026-06-11 17:37:06
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,33.63244891166687,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example99,2026-06-11 17:37:41
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,29.863240718841553,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_chemistry_tube_common_sense\example82,2026-06-11 17:38:13
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,R3_MO,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example1,2026-06-11 17:38:13
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,R3_MO,C0_qwen_guided_success,completed,True,1.0,28.62291169166565,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example11,2026-06-11 17:38:43
19,CommenSence/select_drink_common_sense/example67,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.0,32.842761278152466,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example67,2026-06-11 17:39:17
20,CommenSence/select_drink_common_sense/example95,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,34.79543113708496,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example95,2026-06-11 17:39:53
21,CommenSence/select_drink_common_sense/example96,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,32.925026416778564,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example96,2026-06-11 17:40:27
22,CommenSence/select_fruit_common_sense/example3,C1_qwen_guided_condition_failure,R3_MO,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example3,2026-06-11 17:40:27
23,CommenSence/select_fruit_common_sense/example30,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,44.24459505081177,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example30,2026-06-11 17:41:13
24,CommenSence/select_fruit_common_sense/example32,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,38.88822031021118,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example32,2026-06-11 17:41:53
25,CommenSence/select_fruit_common_sense/example93,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.5,36.54552245140076,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example93,2026-06-11 17:42:31
26,CommenSence/select_nth_largest_poker/example16,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.3333333333333333,36.77064847946167,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_nth_largest_poker\example16,2026-06-11 17:43:09
27,CommenSence/select_nth_largest_poker/example22,C1_qwen_guided_condition_failure,R3_MO,C1_qwen_guided_condition_failure,completed,False,0.3333333333333333,37.42948341369629,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_nth_largest_poker\example22,2026-06-11 17:43:48
