ablation_index,sample_id,track_c_status,variant,variant_status,variant_execution_status,variant_success,variant_progress_score,variant_elapsed_s,case_dir,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\insert_flower_common_sense\example19,2026-06-11 19:31:31
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,completed,False,0.5,45.89958643913269,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\insert_flower_common_sense\example81,2026-06-11 19:32:19
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example21,2026-06-11 19:32:19
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example30,2026-06-11 19:32:19
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,completed,False,0.5,36.831798791885376,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example47,2026-06-11 19:32:57
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R3_SHUF,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example6,2026-06-11 19:32:57
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,completed,False,0.5,33.10521483421326,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example61,2026-06-11 19:33:31
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example65,2026-06-11 19:33:31
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,completed,True,1.0,34.11565136909485,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example70,2026-06-11 19:34:07
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example80,2026-06-11 19:34:07
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example83,2026-06-11 19:34:07
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example84,2026-06-11 19:34:07
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example89,2026-06-11 19:34:07
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,completed,True,1.0,39.260236740112305,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example92,2026-06-11 19:34:48
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,R3_SHUF,C1_qwen_guided_condition_failure,completed,False,0.5,30.369410037994385,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_billiards_common_sense\example99,2026-06-11 19:35:20
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_chemistry_tube_common_sense\example82,2026-06-11 19:35:20
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,R3_SHUF,C0_qwen_guided_success,completed,True,1.0,28.258575916290283,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example1,2026-06-11 19:35:49
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example11,2026-06-11 19:35:49
19,CommenSence/select_drink_common_sense/example67,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example67,2026-06-11 19:35:49
20,CommenSence/select_drink_common_sense/example95,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example95,2026-06-11 19:35:49
21,CommenSence/select_drink_common_sense/example96,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_drink_common_sense\example96,2026-06-11 19:35:49
22,CommenSence/select_fruit_common_sense/example3,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example3,2026-06-11 19:35:49
23,CommenSence/select_fruit_common_sense/example30,C1_qwen_guided_condition_failure,R3_SHUF,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_metadata_control_ablation_300_20260611\ablation_300_metadata_controls\data\CommenSence\select_fruit_common_sense\example30,2026-06-11 19:35:49
