run_position,sample_id,track_c_status,track_d_set,replan_R3_status,replan_R3_execution_status,replan_R3_success,replan_R3_progress_score,replan_R3_elapsed_s,case_dir,updated_at
4,CommenSence/insert_flower_common_sense/example9,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,53.408207178115845,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example9,2026-05-28 17:06:12
6,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,55.242095708847046,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example19,2026-05-28 17:06:12
9,CommenSence/insert_flower_common_sense/example31,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,52.615745306015015,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example31,2026-05-28 17:06:12
13,CommenSence/insert_flower_common_sense/example47,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,61.667733907699585,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example47,2026-05-28 17:07:17
22,CommenSence/insert_flower_common_sense/example78,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,59.32759642601013,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example78,2026-05-28 17:08:19
24,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.0,58.79515218734741,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example81,2026-05-28 17:09:19
27,CommenSence/insert_flower_common_sense/example94,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,49.60485100746155,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example94,2026-05-28 17:10:11
29,CommenSence/select_billiards_common_sense/example1,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example1,2026-05-28 17:10:11
31,CommenSence/select_billiards_common_sense/example3,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example3,2026-05-28 17:10:11
32,CommenSence/select_billiards_common_sense/example4,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example4,2026-05-28 17:10:11
