run_position,sample_id,track_c_status,track_d_set,same_plan_status,same_plan_execution_status,same_plan_success,same_plan_progress_score,same_plan_elapsed_s,case_dir,updated_at
4,CommenSence/insert_flower_common_sense/example9,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,48.728975772857666,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example9,2026-05-27 14:27:46
6,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,52.245667934417725,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example19,2026-05-27 14:27:46
9,CommenSence/insert_flower_common_sense/example31,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.0,52.57598900794983,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example31,2026-05-27 14:27:46
13,CommenSence/insert_flower_common_sense/example47,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,50.02784705162048,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example47,2026-05-27 14:28:40
22,CommenSence/insert_flower_common_sense/example78,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,49.631203174591064,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example78,2026-05-27 14:29:31
24,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,50.521613359451294,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example81,2026-05-27 14:30:23
27,CommenSence/insert_flower_common_sense/example94,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,45.89668560028076,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example94,2026-05-27 14:31:10
29,CommenSence/select_billiards_common_sense/example1,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example1,2026-05-27 14:31:10
31,CommenSence/select_billiards_common_sense/example3,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.08432865142822,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example3,2026-05-27 14:31:48
32,CommenSence/select_billiards_common_sense/example4,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,23.63136649131775,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example4,2026-05-27 14:32:13
34,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.94528651237488,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example6,2026-05-27 14:32:52
35,CommenSence/select_billiards_common_sense/example7,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,33.24064922332764,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example7,2026-05-27 14:33:26
36,CommenSence/select_billiards_common_sense/example8,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,40.69276785850525,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example8,2026-05-27 14:34:09
37,CommenSence/select_billiards_common_sense/example9,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.99564051628113,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example9,2026-05-27 14:34:45
39,CommenSence/select_billiards_common_sense/example11,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.77997303009033,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example11,2026-05-27 14:35:22
40,CommenSence/select_billiards_common_sense/example12,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,20.060218811035156,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example12,2026-05-27 14:35:43
41,CommenSence/select_billiards_common_sense/example13,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.747995376586914,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example13,2026-05-27 14:36:20
42,CommenSence/select_billiards_common_sense/example14,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,21.221712350845337,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example14,2026-05-27 14:36:42
43,CommenSence/select_billiards_common_sense/example15,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example15,2026-05-27 14:36:42
44,CommenSence/select_billiards_common_sense/example16,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,30.678547143936157,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example16,2026-05-27 14:37:15
46,CommenSence/select_billiards_common_sense/example18,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,38.56701874732971,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example18,2026-05-27 14:37:55
47,CommenSence/select_billiards_common_sense/example19,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,39.499661922454834,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example19,2026-05-27 14:38:36
49,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.977859020233154,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example21,2026-05-27 14:39:15
51,CommenSence/select_billiards_common_sense/example23,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,41.40233063697815,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example23,2026-05-27 14:39:59
52,CommenSence/select_billiards_common_sense/example24,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example24,2026-05-27 14:39:59
56,CommenSence/select_billiards_common_sense/example28,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example28,2026-05-27 14:39:59
58,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,39.21283507347107,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example30,2026-05-27 14:40:39
60,CommenSence/select_billiards_common_sense/example32,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,31.721240758895874,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example32,2026-05-27 14:41:13
61,CommenSence/select_billiards_common_sense/example34,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,21.41553783416748,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example34,2026-05-27 14:41:36
62,CommenSence/select_billiards_common_sense/example35,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,38.484538555145264,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example35,2026-05-27 14:42:16
64,CommenSence/select_billiards_common_sense/example37,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.160706996917725,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example37,2026-05-27 14:42:54
65,CommenSence/select_billiards_common_sense/example38,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.70493674278259,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example38,2026-05-27 14:43:33
66,CommenSence/select_billiards_common_sense/example39,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.82626795768738,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example39,2026-05-27 14:44:11
67,CommenSence/select_billiards_common_sense/example40,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example40,2026-05-27 14:44:11
