category,task_name,total,B0_official_eligible,B1_condition_failure,B3_native_exception,B4_timeout,B5_nondeterministic_mismatch,eligible_rate
CommenSence,add_condiment_common_sense,100,0,94,0,0,6,0.0
CommenSence,insert_flower_common_sense,100,27,57,4,0,12,0.27
CommenSence,select_billiards_common_sense,100,97,0,1,2,0,0.97
CommenSence,select_chemistry_tube_common_sense,100,84,3,8,0,5,0.84
CommenSence,select_drink_common_sense,100,41,37,0,0,22,0.41
CommenSence,select_fruit_common_sense,100,97,1,0,0,2,0.97
CommenSence,select_nth_largest_poker,100,99,1,0,0,0,0.99
CommenSence,select_toy_common_sense,100,74,20,0,0,6,0.74
M&T,add_condiment,100,1,97,0,0,2,0.01
M&T,insert_flower,100,31,52,1,0,16,0.31
M&T,select_billiards,100,100,0,0,0,0,1.0
M&T,select_book,100,73,5,0,0,22,0.73
M&T,select_chemistry_tube,100,94,4,0,0,2,0.94
M&T,select_drink,100,44,43,0,0,13,0.44
M&T,select_fruit,100,97,1,0,0,2,0.97
M&T,select_poker,100,100,0,0,0,0,1.0
M&T,select_toy,100,76,20,0,0,4,0.76
PhysicsLaw,density_qa,100,9,61,0,0,30,0.09
PhysicsLaw,friction_qa,100,9,62,0,0,29,0.09
PhysicsLaw,magnetism_qa,100,6,57,0,0,37,0.06
PhysicsLaw,reflection_qa,100,0,0,100,0,0,0.0
PhysicsLaw,speed_of_sound_qa,100,11,56,0,0,33,0.11
PhysicsLaw,thermal_expansion_qa,100,7,60,0,0,33,0.07
Semantic,add_condiment_semantic,100,0,98,0,0,2,0.0
Semantic,insert_flower_semantic,100,26,53,0,0,21,0.26
Semantic,select_billiards_semantic,100,0,0,100,0,0,0.0
Semantic,select_book_semantic,100,78,6,0,0,16,0.78
Semantic,select_chemistry_tube_semantic,100,94,4,0,1,1,0.94
Semantic,select_drink_semantic,100,40,45,0,0,15,0.4
Semantic,select_fruit_semantic,100,97,1,0,0,2,0.97
Semantic,select_poker_semantic,100,100,0,0,0,0,1.0
Semantic,select_toy_semantic,100,72,21,0,0,7,0.72
Spatial,add_condiment_spatial,100,0,99,0,0,1,0.0
Spatial,insert_bloom_flower,100,28,60,0,0,12,0.28
Spatial,select_billiards_spatial,100,60,36,0,0,4,0.6
Spatial,select_book_spatial,100,85,2,0,0,13,0.85
Spatial,select_chemistry_tube_spatial,100,92,4,0,0,4,0.92
Spatial,select_fruit_spatial,100,0,46,0,54,0,0.0
Spatial,select_poker_spatial,100,100,0,0,0,0,1.0
Spatial,select_toy_spatial,100,84,11,0,0,5,0.84
